DateTime:,24:03.1,,,,,,,,,,,,,,,
name,platform,release year,publisher,north america sales,PAL sales,japan sales,rest of world sales,global sales,release date,critic score,critic outof,critic count,user score,user count,developer,rating
Mary-Kate and Ashley: Girls Night Out,Acclaim Entertainment,19th Mar 02  ,Acclaim Entertainment,0.15m,0.05m,N/A,0.00m,0.20m,,,,,,,,
Castlevania: Lords of Shadow 2,Konami Digital Entertainment,25th Feb 14  ,Konami Digital Entertainment,0.03m,0.13m,0.02m,0.03m,0.20m,,,,,,,,
LEGO Harry Potter: Years 5-7,Warner Bros. Interactive Entertainment,06th Mar 12  ,Warner Bros. Interactive Entertainment,0.07m,0.09m,N/A,0.04m,0.20m,,,,,,,,
"Warhammer 40,000: Space Marine",THQ,06th Sep 11  ,THQ,0.09m,0.09m,N/A,0.03m,0.20m,,,,,,,,
Beyblade G-Revolution,Atari,18th Nov 04  ,Atari,0.15m,0.05m,N/A,0.00m,0.20m,,,,,,,,
"b""Jillian Michaels Fitness Adventure""",Majesco,08th Nov 11  ,Majesco,0.17m,0.02m,N/A,0.02m,0.20m,,,,,,,,
Dragon Quest Monsters: Joker 3 - Professional,Square Enix,09th Feb 17  ,Square Enix,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Disney Art Academy,Nintendo,13th May 16  ,Nintendo,0.04m,0.06m,0.10m,0.01m,0.20m,,,,,,,,
Trade & Battle: Card Hero,Nintendo,21st Feb 00  ,Nintendo,N/A,N/A,0.20m,0.00m,0.20m,,,,,,,,
Football Manager 2018,Sega,10th Nov 17  ,Sega,N/A,0.19m,N/A,0.01m,0.20m,,,,,,,,
EVE Online,Simon & Schuster Interactive,06th May 03  ,Simon & Schuster Interactive,N/A,0.19m,N/A,0.01m,0.20m,,,,,,,,
World Championship Cards,Crave Entertainment,27th May 08  ,Crave Entertainment,0.19m,N/A,N/A,0.02m,0.20m,,,,,,,,
Code of Princess,Atlus,09th Oct 12  ,Atlus,0.16m,N/A,0.03m,0.02m,0.20m,,,,,,,,
Capcom Fighting Evolution,Capcom,16th Nov 04  ,Capcom,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Mobile Suit Gundam: Crossfire,Namco Bandai,13th Nov 06  ,Namco Bandai,0.06m,0.00m,0.14m,0.01m,0.20m,,,,,,,,
Godzilla (2015),Namco Bandai Games,14th Jul 15  ,Namco Bandai Games,0.11m,0.03m,0.03m,0.03m,0.20m,,,,,,,,
SD Gundam GNext,Bandai,22nd Dec 95  ,Bandai,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Backyard NFL Football 2006,Atari,04th Oct 05  ,Atari,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Thrillville,LucasArts,21st Nov 06  ,LucasArts,0.18m,0.00m,N/A,0.02m,0.20m,,,,,,,,
NASCAR Heat 2002,Infogrames,14th Nov 01  ,Infogrames,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Sloane to MacHale no Nazo no Monogatari,Level 5,21st May 09  ,Level 5,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Sengoku Basara 2 Heroes,Capcom,29th Nov 07  ,Capcom,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Buzz! The Schools Quiz,Sony Computer Entertainment,11th Jan 08  ,Sony Computer Entertainment,N/A,0.02m,N/A,0.19m,0.20m,,,,,,,,
Suikoden Tactics,Konami,08th Nov 05  ,Konami,0.06m,0.05m,0.07m,0.02m,0.20m,,,,,,,,
NCAA March Madness 06,EA Sports,11th Oct 05  ,EA Sports,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Phantasy Star Online,Sega,29th Jan 01  ,Sega,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Crazy Taxi 3: High Roller,Sega,24th Jul 02  ,Sega,0.14m,0.04m,0.02m,0.01m,0.20m,,,,,,,,
Midnight Club 3: DUB Edition Remix,Rockstar Games,13th Mar 06  ,Rockstar Games,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
International Superstar Soccer 2000,Konami,03rd Aug 00  ,Konami,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
CandyLand / Chutes & Ladders / Memory,DSI Games,07th Nov 05  ,DSI Games,0.15m,0.05m,N/A,0.00m,0.20m,,,,,,,,
Kung Fu Rider,Sony Computer Entertainment,17th Sep 10  ,Sony Computer Entertainment,0.06m,0.10m,0.01m,0.04m,0.20m,,,,,,,,
The Amazing Spider-Man (2012),Activision,26th Jun 12  ,Activision,0.15m,0.03m,N/A,0.02m,0.20m,,,,,,,,
The Bible Game,Crave Entertainment,23rd Oct 05  ,Crave Entertainment,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Major League Baseball 2K11,2K Sports,08th Mar 11  ,2K Sports,0.15m,0.03m,N/A,0.02m,0.20m,,,,,,,,
"b""Drift King Shutokou Battle 94""",BPS,27th May 94  ,BPS,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Shining Blade,Sega,15th Mar 12  ,Sega,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Need for Speed Carbon: Own the City,Electronic Arts,31st Oct 06  ,Electronic Arts,0.17m,0.01m,N/A,0.02m,0.20m,,,,,,,,
The Ultimate Red Ball Challenge,Mindscape,06th Nov 09  ,Mindscape,N/A,0.19m,N/A,0.01m,0.20m,,,,,,,,
The King of Fighters Collection: The Orochi Saga,SNK Playmore,28th Oct 08  ,SNK Playmore,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
PBR: Out of the Chute,Crave Entertainment,28th Oct 08  ,Crave Entertainment,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,Konami,18th Dec 03  ,Konami,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Dead by Daylight,505 Games,20th Jun 17  ,505 Games,0.11m,0.06m,N/A,0.04m,0.20m,,,,,,,,
We Sing Robbie Williams,Nordic Games,12th Nov 10  ,Nordic Games,N/A,0.18m,N/A,0.02m,0.20m,,,,,,,,
Enchanted Arms,Ubisoft,03rd Apr 07  ,Ubisoft,0.17m,0.01m,N/A,0.02m,0.20m,,,,,,,,
Major League Baseball 2K12,Take-Two Interactive,06th Mar 12  ,Take-Two Interactive,0.18m,N/A,N/A,0.02m,0.20m,,,,,,,,
Saturday Night Speedway,Atari,11th Mar 04  ,Atari,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
CSI: Deadly Intent,Ubisoft,27th Oct 09  ,Ubisoft,0.10m,0.08m,N/A,0.02m,0.20m,,,,,,,,
Bratz: Rock Angelz,THQ,05th Oct 05  ,THQ,0.16m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Langrisser III,NCS,18th Oct 96  ,NCS,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
MLB SlugFest 20-03,Midway Games,26th Aug 02  ,Midway Games,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Samurai Spirits (CD),SNK,09th Sep 94  ,SNK,N/A,N/A,0.20m,0.00m,0.20m,,,,,,,,
Pitfall: The Lost Expedition,Activision,18th Feb 04  ,Activision,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Deal or No Deal: The Banker is Back!,Mindscape,14th Nov 08  ,Mindscape,N/A,0.20m,N/A,0.00m,0.20m,,,,,,,,
From TV Animation One Piece: Grand Battle! 3,Bandai,11th Dec 03  ,Bandai,N/A,N/A,0.20m,0.01m,0.20m,,,,,,,,
Rocket Power: Zero Gravity Zone,THQ,04th Sep 03  ,THQ,0.14m,0.05m,N/A,0.00m,0.20m,,,,,,,,
Le Mans 24 Hours,Infogrames,13th Aug 01  ,Infogrames,0.09m,0.07m,0.02m,0.02m,0.20m,,,,,,,,
ESPN MLB Baseball,Sega,04th May 04  ,Sega,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Shrek: Forever After,Activision,18th May 10  ,Activision,0.16m,0.02m,N/A,0.03m,0.20m,,,,,,,,
All Star Pro-Wrestling,Square,08th Jun 00  ,Square,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Dragon Ball Z: Harukanaru Densetsu,Atari,05th Jun 07  ,Atari,0.19m,N/A,N/A,0.02m,0.20m,,,,,,,,
Dark Messiah of Might and Magic Elements,Ubisoft,12th Feb 08  ,Ubisoft,0.16m,0.02m,0.01m,0.02m,0.20m,,,,,,,,
Wizards of Waverly Place: Spellbound,Disney Interactive Studios,16th Nov 10  ,Disney Interactive Studios,0.16m,0.03m,N/A,0.01m,0.20m,,,,,,,,
Shaun White Skateboarding,Ubisoft,24th Oct 10  ,Ubisoft,0.12m,0.05m,N/A,0.03m,0.20m,,,,,,,,
WRC: FIA World Rally Championship,Unknown,N/A  ,Unknown,0.00m,0.14m,0.01m,0.04m,0.20m,,,,,,,,
Harvest Moon: More Friends of Mineral Town,Natsume,26th Jul 05  ,Natsume,0.14m,0.05m,N/A,0.00m,0.20m,,,,,,,,
Infinite Space,Sega,16th Mar 10  ,Sega,0.06m,0.05m,0.07m,0.01m,0.20m,,,,,,,,
The Fairly Odd Parents: Shadow Showdown,THQ,08th Sep 04  ,THQ,0.16m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Planet 51,Sega,17th Nov 09  ,Sega,0.17m,0.02m,N/A,0.02m,0.20m,,,,,,,,
DanceMasters,Konami,04th Nov 10  ,Konami,0.15m,0.02m,0.02m,0.01m,0.20m,,,,,,,,
Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,Bandai,06th Dec 96  ,Bandai,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Black Panther 2: Yakuza Ashura Chapter,Sega,22nd Mar 12  ,Sega,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Just Dance: Greatest Hits,Ubisoft,26th Jul 12  ,Ubisoft,0.14m,0.04m,N/A,0.02m,0.20m,,,,,,,,
DarkStar One: Broken Alliance,Kalypso,20th Jul 10  ,Kalypso,0.11m,0.07m,N/A,0.02m,0.20m,,,,,,,,
NBA 2K2,Sega,27th Feb 02  ,Sega,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
"b""X2: Wolverines Revenge""",Activision,15th Apr 03  ,Activision,0.14m,0.05m,N/A,0.00m,0.20m,,,,,,,,
Teenage Mutant Ninja Turtles: Danger of the Ooze,Activision,28th Oct 14  ,Activision,0.11m,0.07m,N/A,0.02m,0.20m,,,,,,,,
7th Dragon 2020,Sega,23rd Nov 11  ,Sega,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Cars,THQ,06th Jun 06  ,THQ,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Dragon Ball: Revenge of King Piccolo,Namco Bandai,20th Oct 09  ,Namco Bandai,0.12m,0.03m,0.03m,0.02m,0.20m,,,,,,,,
Taiko no Tatsujin: Waku Waku Anime Matsuri,Namco,18th Dec 03  ,Namco,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Spy Hunter,Midway Games,11th Mar 02  ,Midway Games,0.16m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Dead to Rights II,Namco,12th Apr 05  ,Namco,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Super Dodge Ball Advance,Atlus,10th Jun 01  ,Atlus,0.14m,0.05m,N/A,0.00m,0.20m,,,,,,,,
Ogre Battle Saga Episode Five: The March of the Black Queen,Atlus,31st Jul 97  ,Atlus,0.06m,0.04m,0.09m,0.01m,0.20m,,,,,,,,
Apache: Air Assault,Activision,16th Nov 10  ,Activision,0.11m,0.06m,N/A,0.02m,0.20m,,,,,,,,
"b""Ni Hao, Kai-lan: New Years Celebration""",2K Play,03rd Nov 09  ,2K Play,0.19m,0.00m,N/A,0.01m,0.20m,,,,,,,,
MLB 12: The Show,Sony Computer Entertainment,06th Mar 12  ,Sony Computer Entertainment,0.17m,N/A,N/A,0.03m,0.20m,,,,,,,,
Body and Brain Connection,Namco Bandai,08th Feb 11  ,Namco Bandai,0.10m,0.08m,N/A,0.02m,0.20m,,,,,,,,
MDK,Playmates,30th Nov 98  ,Playmates,0.11m,0.08m,N/A,0.01m,0.20m,,,,,,,,
Monster Jam,Activision,13th Nov 07  ,Activision,0.18m,0.00m,N/A,0.02m,0.20m,,,,,,,,
Eagle Flight,Ubisoft,08th Nov 16  ,Ubisoft,0.09m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Rock Band Track Pack: Classic Rock,MTV Games,19th May 09  ,MTV Games,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Ty the Tasmanian Tiger 2: Bush Rescue,Electronic Arts,12th Oct 04  ,Electronic Arts,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Sniper: Ghost Warrior 2,City Interactive,12th Mar 13  ,City Interactive,0.06m,0.12m,0.00m,0.01m,0.20m,,,,,,,,
Speed Punks,Sony Computer Entertainment,31st Mar 00  ,Sony Computer Entertainment,0.11m,0.08m,N/A,0.01m,0.20m,,,,,,,,
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,Activision,03rd Nov 09  ,Activision,0.11m,0.07m,N/A,0.02m,0.20m,,,,,,,,
Just Dance 2018,Ubisoft,24th Oct 17  ,Ubisoft,0.14m,0.04m,N/A,0.02m,0.20m,,,,,,,,
The Legend of Heroes: Ao no Kiseki,Falcom Corporation,29th Sep 11  ,Falcom Corporation,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
"b""Cabelas Survival: Shadows of Katmai""",Activision,01st Nov 11  ,Activision,0.14m,0.04m,N/A,0.01m,0.20m,,,,,,,,
3rd Super Robot Wars Z: Tengoku-Hen,Namco Bandai Games,02nd Apr 15  ,Namco Bandai Games,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
"b""Clive Barkers Jericho""",Codemasters,23rd Oct 07  ,Codemasters,0.17m,0.01m,N/A,0.02m,0.20m,,,,,,,,
Warriors Orochi,KOEI,25th Mar 08  ,KOEI,0.02m,0.00m,0.18m,0.00m,0.20m,,,,,,,,
MVP Baseball 2003,EA Sports,10th Mar 03  ,EA Sports,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Earth Defense Force: Insect Armageddon,D3 Publisher,05th Jul 11  ,D3 Publisher,0.06m,0.04m,0.08m,0.02m,0.20m,,,,,,,,
NCAA Final Four 2004,Sony Computer Entertainment,11th Nov 03  ,Sony Computer Entertainment,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Buena Vista,14th Nov 05  ,Buena Vista,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
NBA 07,Sony Computer Entertainment,25th Sep 06  ,Sony Computer Entertainment,0.18m,N/A,N/A,0.02m,0.20m,,,,,,,,
Body Harvest,Midway Games,20th Oct 98  ,Midway Games,0.16m,0.04m,N/A,0.00m,0.20m,,,,,,,,
Magical Tetris Challenge,Capcom,01st Jan 98  ,Capcom,0.13m,0.02m,0.05m,0.00m,0.20m,,,,,,,,
Roadsters 99,Titus,30th Nov 99  ,Titus,0.06m,0.13m,N/A,0.01m,0.20m,,,,,,,,
Snowboard Kids,Atlus,01st Jan 97  ,Atlus,0.16m,0.04m,N/A,0.00m,0.20m,,,,,,,,
"b""Disneys Tarzan""",Activision,14th Feb 00  ,Activision,0.16m,0.04m,N/A,0.00m,0.20m,,,,,,,,
"b""Tiggers Honey Hunt""",NewKidCo,01st Nov 00  ,NewKidCo,0.16m,0.04m,N/A,0.00m,0.20m,,,,,,,,
Twisted Edge Extreme Snowboarding,Midway Games,10th Nov 98  ,Midway Games,0.16m,0.04m,N/A,0.00m,0.20m,,,,,,,,
Famista 64,Unknown,N/A  ,Unknown,N/A,N/A,0.17m,0.03m,0.20m,,,,,,,,
Super Robot Taisen 64,Banpresto,29th Oct 99  ,Banpresto,N/A,N/A,0.20m,0.00m,0.20m,,,,,,,,
San Francisco Rush 2049,Midway Games,07th Sep 00  ,Midway Games,0.16m,0.04m,N/A,0.00m,0.20m,,,,,,,,
South Park Rally,Acclaim Entertainment,29th Feb 00  ,Acclaim Entertainment,0.16m,0.04m,N/A,0.00m,0.20m,,,,,,,,
IHRA Drag Racing 2004,Bethesda Softworks,01st Dec 03  ,Bethesda Softworks,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Treasure World,Aspyr,30th Jun 09  ,Aspyr,0.18m,N/A,N/A,0.02m,0.20m,,,,,,,,
Shining Hearts,Sega,16th Dec 10  ,Sega,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
SingStar: Back to the 80s,Sony Computer Entertainment,28th Oct 11  ,Sony Computer Entertainment,N/A,0.16m,N/A,0.04m,0.20m,,,,,,,,
Marvel: Ultimate Alliance 2,Activision,15th Sep 09  ,Activision,0.16m,0.03m,N/A,0.02m,0.20m,,,,,,,,
"b""Sid Meiers Pirates!""",2K Games,22nd Jan 07  ,2K Games,0.16m,0.01m,N/A,0.02m,0.20m,,,,,,,,
Friday the 13th: The Game,Gun Media,13th Oct 17  ,Gun Media,0.15m,0.03m,N/A,0.02m,0.20m,,,,,,,,
"b""Cabelas North American Adventures""",Activision,14th Sep 10  ,Activision,0.19m,N/A,N/A,0.01m,0.20m,,,,,,,,
Front Mission Evolved,Square Enix,28th Sep 10  ,Square Enix,0.10m,0.07m,0.02m,0.02m,0.20m,,,,,,,,
Jissen Pachi-Slot Hisshouhou! Aladdin A,Sammy Corporation,18th Jul 02  ,Sammy Corporation,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Namco Museum: 50th Anniversary,Namco,30th Aug 05  ,Namco,0.14m,0.05m,N/A,0.00m,0.20m,,,,,,,,
Ford Racing Off Road,Strategy First,23rd Sep 08  ,Strategy First,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Nobunaga no Yabou: Reppuuden,KOEI,09th Sep 99  ,KOEI,N/A,N/A,0.19m,0.01m,0.20m,,,,,,,,
Ashes Cricket 2009,Codemasters,07th Aug 09  ,Codemasters,N/A,0.19m,N/A,0.01m,0.20m,,,,,,,,
The BIGS 2,2K Sports,07th Jul 09  ,2K Sports,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Sleeping Dogs: Definitive Edition,Square Enix,14th Oct 14  ,Square Enix,0.10m,0.09m,N/A,0.02m,0.20m,,,,,,,,
Press Your Luck 2010 Edition,Ubisoft,27th Oct 09  ,Ubisoft,0.19m,N/A,N/A,0.01m,0.20m,,,,,,,,
"b""Mat Hoffmans Pro BMX 2""",Activision,12th Aug 02  ,Activision,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Treasure Hunter G,Square,24th May 96  ,Square,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
From Russia With Love,Electronic Arts,01st Nov 05  ,Electronic Arts,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Wing Arms,Sega,01st Jan 95  ,Sega,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Marvel Super Hero Squad: Comic Combat,THQ,15th Nov 11  ,THQ,0.11m,0.05m,N/A,0.03m,0.20m,,,,,,,,
Pro Yakyuu Spirits 2013,Konami Digital Entertainment,20th Mar 13  ,Konami Digital Entertainment,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
NBA Live 18,EA Sports,15th Sep 17  ,EA Sports,0.18m,N/A,N/A,0.02m,0.20m,,,,,,,,
Elex,THQ Nordic,17th Oct 17  ,THQ Nordic,0.03m,0.14m,N/A,0.03m,0.20m,,,,,,,,
Ridge Racer 6,Namco,17th Nov 05  ,Namco,0.10m,0.02m,0.07m,0.01m,0.20m,,,,,,,,
"b""Cabelas Big Game Hunter (2008)""",Activision,06th Nov 07  ,Activision,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Record of Agarest War,Aksys Games,27th Apr 10  ,Aksys Games,0.18m,N/A,0.01m,0.01m,0.20m,,,,,,,,
The Cheetah Girls: Passport to Stardom,Disney Interactive Studios,13th Aug 08  ,Disney Interactive Studios,0.18m,N/A,N/A,0.01m,0.20m,,,,,,,,
Grandia II,Ubisoft,06th Dec 00  ,Ubisoft,N/A,N/A,0.20m,0.00m,0.20m,,,,,,,,
Namco Museum Vol.4,Namco,30th Jun 97  ,Namco,0.02m,0.01m,0.16m,0.01m,0.20m,,,,,,,,
Classic NES Series: Ice Climber,Nintendo,02nd Jun 04  ,Nintendo,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Neighborhood Games,THQ,12th Jan 09  ,THQ,0.17m,0.02m,N/A,0.01m,0.20m,,,,,,,,
Shark Tale,Activision,27th Sep 04  ,Activision,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
UFC Personal Trainer: The Ultimate Fitness System,THQ,12th Jul 11  ,THQ,0.12m,0.06m,N/A,0.02m,0.20m,,,,,,,,
NFL Street 2,EA Sports BIG,22nd Dec 04  ,EA Sports BIG,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Atelier Shallie: Alchemists of the Dusk Sea,Tecmo Koei,10th Mar 15  ,Tecmo Koei,0.07m,0.03m,0.08m,0.02m,0.20m,,,,,,,,
God Eater Resurrection,Namco Bandai Games,01st Oct 16  ,Namco Bandai Games,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Pro Yakyuu Spirits 2013,Konami Digital Entertainment,20th Mar 13  ,Konami Digital Entertainment,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami,01st Nov 05  ,Konami,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
My Secret World by Imagine,Ubisoft,16th Sep 08  ,Ubisoft,N/A,0.20m,N/A,N/A,0.20m,,,,,,,,
Gladius,LucasArts,28th Oct 03  ,LucasArts,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
CSI: Unsolved!,Ubisoft,23rd Nov 10  ,Ubisoft,0.13m,0.05m,N/A,0.02m,0.20m,,,,,,,,
Bravo Team,Sony Interactive Entertainment,06th Mar 18  ,Sony Interactive Entertainment,0.06m,0.09m,0.02m,0.03m,0.20m,,,,,,,,
Dragon Quest Builders: Revive Alefgard,Square Enix,09th Feb 18  ,Square Enix,0.06m,0.06m,0.07m,0.01m,0.20m,,,,,,,,
Untold Legends: Dark Kingdom,Sony Online Entertainment,13th Nov 06  ,Sony Online Entertainment,0.14m,0.02m,0.02m,0.02m,0.20m,,,,,,,,
Dave Mirra Freestyle BMX 2,Acclaim Entertainment,28th Nov 01  ,Acclaim Entertainment,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
"b""Dantes Inferno    Read the review""",Electronic Arts,02nd Mar 10  ,Electronic Arts,0.12m,0.04m,0.01m,0.02m,0.20m,,,,,,,,
Soldier of Fortune: Payback,Activision,13th Nov 07  ,Activision,0.18m,0.00m,N/A,0.02m,0.20m,,,,,,,,
Arcana Heart 3,Aksys Games,23rd Sep 14  ,Aksys Games,0.04m,0.05m,0.10m,0.02m,0.20m,,,,,,,,
Pro Yakyuu Spirits 2012,Konami Digital Entertainment,29th Mar 12  ,Konami Digital Entertainment,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
SpongeBob SquarePants: Revenge of the Flying Dutchman,THQ,18th Dec 02  ,THQ,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Afro Samurai    Read the review,Namco Bandai,27th Jan 09  ,Namco Bandai,0.12m,0.05m,N/A,0.03m,0.20m,,,,,,,,
Taiko no Tatsujin: Go! Go! Godaime,Namco,09th Dec 04  ,Namco,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Taiko Drum Master,Namco,26th Oct 04  ,Namco,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Bust-A-Move 2 Arcade Edition,Acclaim Entertainment,29th Mar 96  ,Acclaim Entertainment,0.11m,0.07m,N/A,0.01m,0.20m,,,,,,,,
Bleach: The 3rd Phantom,Sega,15th Sep 09  ,Sega,0.10m,0.02m,0.07m,0.01m,0.20m,,,,,,,,
Solatorobo: Red the Hunter,Xseed Games,27th Sep 11  ,Xseed Games,0.08m,0.04m,0.07m,0.01m,0.20m,,,,,,,,
Tetris Worlds (Online Edition),THQ,13th Jun 03  ,THQ,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
Super Baseball Simulator 1.000,Culture Brain,01st Dec 91  ,Culture Brain,N/A,N/A,0.20m,0.00m,0.20m,,,,,,,,
Forgotten Realms: Demon Stone,Atari,14th Sep 04  ,Atari,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
L.A. Noire,Rockstar Games,14th Nov 17  ,Rockstar Games,0.09m,0.09m,N/A,0.02m,0.20m,,,,,,,,
Looney Tunes: Space Race,Infogrames,27th May 02  ,Infogrames,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
Two Worlds II,SouthPeak Interactive,08th Feb 11  ,SouthPeak Interactive,0.09m,0.09m,N/A,0.02m,0.20m,,,,,,,,
Just Dance 2: Extra Songs,Ubisoft,15th Jul 11  ,Ubisoft,N/A,0.17m,N/A,0.03m,0.20m,,,,,,,,
Puzzle Challenge: Crosswords and More!,Crave Entertainment,09th Jun 06  ,Crave Entertainment,0.18m,N/A,N/A,0.01m,0.20m,,,,,,,,
Mahjongg Mysteries: Ancient Egypt,Destineer,24th Jun 10  ,Destineer,0.07m,0.11m,N/A,0.02m,0.20m,,,,,,,,
Backyard Hockey,Atari,09th Oct 03  ,Atari,0.14m,0.05m,N/A,0.00m,0.20m,,,,,,,,
Rock Band Track Pack Volume 2,MTV Games,17th Nov 08  ,MTV Games,0.18m,0.01m,N/A,0.02m,0.20m,,,,,,,,
Yoga: The first 100% Experience,DreamCatcher Interactive,07th Dec 09  ,DreamCatcher Interactive,0.14m,0.04m,N/A,0.02m,0.20m,,,,,,,,
Playboy: The Mansion,ARUSH Entertainment,25th Jan 05  ,ARUSH Entertainment,0.10m,0.08m,N/A,0.03m,0.20m,,,,,,,,
X-Men Origins: Wolverine,Activision,01st May 09  ,Activision,0.15m,0.03m,N/A,0.02m,0.20m,,,,,,,,
Jikkyou Powerful Pro Yakyuu 2010,Konami,15th Jul 10  ,Konami,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
"b""Tom Clancys Splinter Cell: Essentials""",Ubisoft,21st Mar 06  ,Ubisoft,0.17m,0.01m,N/A,0.02m,0.20m,,,,,,,,
Ore no Shikabane o Koete Yuke,Sony Computer Entertainment,10th Nov 11  ,Sony Computer Entertainment,N/A,N/A,0.20m,N/A,0.20m,,,,,,,,
Captain America: Super Soldier,Sega,19th Jul 11  ,Sega,0.10m,0.07m,N/A,0.03m,0.20m,,,,,,,,
Shaman King: Spirit of Shamans,Bandai,06th Jun 02  ,Bandai,N/A,N/A,0.18m,0.01m,0.20m,,,,,,,,
Tiger Woods PGA Tour 06,EA Sports,26th Sep 05  ,EA Sports,0.18m,N/A,N/A,0.01m,0.20m,,,,,,,,
Ratatouille,THQ,26th Jun 07  ,THQ,0.14m,0.05m,N/A,0.00m,0.20m,,,,,,,,
The Fairly Odd Parents: Enter the Cleft,THQ,04th Nov 02  ,THQ,0.14m,0.05m,N/A,0.00m,0.20m,,,,,,,,
Armored Core 4,Sega,20th Mar 07  ,Sega,0.09m,0.00m,0.09m,0.01m,0.20m,,,,,,,,
Baja: Edge of Control,THQ,22nd Sep 08  ,THQ,0.12m,0.06m,N/A,0.02m,0.20m,,,,,,,,
MC Groovz Dance Craze,Mad Catz,22nd Nov 04  ,Mad Catz,0.15m,0.04m,N/A,0.01m,0.20m,,,,,,,,
"b""No More Heroes: Heroes Paradise""",Konami,16th Aug 11  ,Konami,0.10m,0.04m,0.04m,0.02m,0.20m,,,,,,,,
